"","name","year","rating","synopsis","duration","gender"
"16","Inglourious Basterds","(2009)","8.4","
In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",153,"Adventure| Drama| War"
"17","Spider-Man: Into the Spider-Verse","(2018)","8.4","
Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",117,"Animation| Action| Adventure"
"18","Coco","(I) (2017)","8.4","
Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",105,"Animation| Adventure| Drama"
"19","Aliens","(1986)","8.4","
Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",137,"Action| Adventure| Sci-Fi"
"20","Raiders of the Lost Ark","(1981)","8.4","
In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",115,"Action| Adventure"
"21","Avengers: Infinity War","(2018)","8.4","
The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.",149,"Action| Adventure| Sci-Fi"
"22","WALL·E","(2008)","8.4","
In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",98,"Animation| Adventure| Family"
"23","Kaithi","(2019)","8.4","
Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",145,"Action| Adventure| Crime"
"24","2001: A Space Odyssey","(1968)","8.3","
After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.",149,"Adventure| Sci-Fi"
"25","Toy Story","(1995)","8.3","
A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.",81,"Animation| Adventure| Comedy"
"26","Up","(2009)","8.3","
78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",96,"Animation| Adventure| Comedy"
"27","Lawrence of Arabia","(1962)","8.3","
The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",218,"Adventure| Biography| Drama"
"28","Star Wars: Episode VI - Return of the Jedi","(1983)","8.3","
After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.",131,"Action| Adventure| Fantasy"
"29","Mononoke-hime","(1997)","8.3","
On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",134,"Animation| Action| Adventure"
"30","Toy Story 3","(2010)","8.3","
The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",103,"Animation| Adventure| Comedy"
"31","North by Northwest","(1959)","8.3","
A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",136,"Action| Adventure| Mystery"
"32","Spider-Man: No Way Home","(2021)","8.2","
With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",148,"Action| Adventure| Fantasy"
"33","Jurassic Park","(1993)","8.2","
A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.",127,"Action| Adventure| Sci-Fi"
"34","The Great Escape","(1963)","8.2","
Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.",172,"Adventure| Drama| History"
"35","Hauru no ugoku shiro","(2004)","8.2","
When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",119,"Animation| Adventure| Family"
"36","Indiana Jones and the Last Crusade","(1989)","8.2","
In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",127,"Action| Adventure"
"37","Finding Nemo","(2003)","8.2","
After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",100,"Animation| Adventure| Comedy"
"38","Monty Python and the Holy Grail","(1975)","8.2","
King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",91,"Adventure| Comedy| Fantasy"
"39","Klaus","(2019)","8.2","
A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",96,"Animation| Adventure| Comedy"
"40","Kimetsu no Yaiba: Mugen Ressha-Hen","(2020)","8.2","
After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",117,"Animation| Action| Adventure"
"41","The Treasure of the Sierra Madre","(1948)","8.2","
Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.",126,"Adventure| Drama| Western"
"42","Le salaire de la peur","(1953)","8.2","
In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",131,"Adventure| Drama| Thriller"
"43","Kantara","(2022)","8.2","
When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice.",148,"Action| Adventure| Drama"
"44","Dersu Uzala","(1975)","8.2","
The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.",142,"Adventure| Biography| Drama"
"45","Mad Max: Fury Road","(2015)","8.1","
In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.",120,"Action| Adventure| Sci-Fi"
"46","Pirates of the Caribbean: The Curse of the Black Pearl","(2003)","8.1","
Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",143,"Action| Adventure| Fantasy"
"47","Jaws","(1975)","8.1","
When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",124,"Adventure| Mystery| Thriller"
"48","Harry Potter and the Deathly Hallows - Part 2","(2011)","8.1","
Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",130,"Adventure| Family| Fantasy"
"49","Ratatouille","(2007)","8.1","
A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.",111,"Animation| Adventure| Comedy"
"50","Stand by Me","(1986)","8.1","
After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",89,"Adventure| Comedy| Drama"
